
 [*] Set cuda: True
 [*] Loading dataset...
 [*] pre_apn_epoch[1], || pre_apn_iter 2780 || pre_apn_loss: 0.0270 || Timer: 0.1435sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2800 || pre_apn_loss: 0.0140 || Timer: 0.1437sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2820 || pre_apn_loss: 0.0323 || Timer: 0.1449sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2840 || pre_apn_loss: 0.0165 || Timer: 0.1442sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2860 || pre_apn_loss: 0.0301 || Timer: 0.1443sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2880 || pre_apn_loss: 0.0188 || Timer: 0.1446sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2900 || pre_apn_loss: 0.0107 || Timer: 0.1433sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2920 || pre_apn_loss: 0.0234 || Timer: 0.1429sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2940 || pre_apn_loss: 0.0098 || Timer: 0.1460sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2960 || pre_apn_loss: 0.0224 || Timer: 0.1464sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2980 || pre_apn_loss: 0.0242 || Timer: 0.1443sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3000 || pre_apn_loss: 0.0202 || Timer: 0.1433sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3020 || pre_apn_loss: 0.0340 || Timer: 0.1443sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3040 || pre_apn_loss: 0.0364 || Timer: 0.1492sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3060 || pre_apn_loss: 0.0366 || Timer: 0.1493sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3080 || pre_apn_loss: 0.0189 || Timer: 0.1657sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3100 || pre_apn_loss: 0.0227 || Timer: 0.1429sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3120 || pre_apn_loss: 0.0160 || Timer: 0.1425sec
(326, 500, 3)
 [*] pre_apn_epoch[2], || pre_apn_iter 3140 || pre_apn_loss: 0.0383 || Timer: 0.1438sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3160 || pre_apn_loss: 0.0179 || Timer: 0.1552sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3180 || pre_apn_loss: 0.0281 || Timer: 0.1424sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3200 || pre_apn_loss: 0.0107 || Timer: 0.1428sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3220 || pre_apn_loss: 0.0159 || Timer: 0.1449sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3240 || pre_apn_loss: 0.0305 || Timer: 0.1445sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3260 || pre_apn_loss: 0.0260 || Timer: 0.1531sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3280 || pre_apn_loss: 0.0272 || Timer: 0.1435sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3300 || pre_apn_loss: 0.0152 || Timer: 0.1425sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3320 || pre_apn_loss: 0.0491 || Timer: 0.1419sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3340 || pre_apn_loss: 0.0098 || Timer: 0.1624sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3360 || pre_apn_loss: 0.0095 || Timer: 0.1441sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3380 || pre_apn_loss: 0.0070 || Timer: 0.1453sec
(500, 500, 3)
 [*] pre_apn_epoch[2], || pre_apn_iter 3400 || pre_apn_loss: 0.0221 || Timer: 0.1441sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3420 || pre_apn_loss: 0.0268 || Timer: 0.1435sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3440 || pre_apn_loss: 0.0217 || Timer: 0.1443sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3460 || pre_apn_loss: 0.0444 || Timer: 0.1445sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3480 || pre_apn_loss: 0.0168 || Timer: 0.1443sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3500 || pre_apn_loss: 0.0250 || Timer: 0.1432sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3520 || pre_apn_loss: 0.0287 || Timer: 0.1413sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3540 || pre_apn_loss: 0.0202 || Timer: 0.1433sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3560 || pre_apn_loss: 0.0335 || Timer: 0.1447sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3580 || pre_apn_loss: 0.0198 || Timer: 0.1661sec
